HIP,RAICRS,DEICRS,Vmag
88,0.26915958,-48.80985919,5.71
107,0.33380226,-50.33739907,5.53
122,0.39937928,-77.06529438,4.78
124,0.40424537,61.22280406,5.58
145,0.45598912,-3.02747891,5.13
154,0.48996506,-6.01397169,4.37
171,0.54018776,27.08448905,5.80
183,0.58297574,-29.72044805,5.04
194,0.62398938,8.48557854,5.70
207,0.65034249,66.09896341,5.87
301,0.93488487,-17.33597002,4.55
330,1.05693212,62.28766460,5.90
343,1.08233885,-16.52888969,5.78
355,1.12550980,-10.50949443,4.99
377,1.17188841,-71.43685835,5.59
379,1.17432297,67.16638761,5.68
418,1.27555231,61.31396468,5.80
443,1.33394073,-5.70783255,4.61
476,1.42473238,13.39628227,5.55
518,1.56474395,58.43668966,5.98
522,1.57776340,-49.07509405,5.70
531,1.61052855,64.19616859,5.57
636,1.94523194,-22.50847542,5.93
655,2.01465535,-33.52933371,5.67
671,2.07313617,-8.82402541,5.99
677,2.09653333,29.09082805,2.07
729,2.25974230,18.21202529,5.57
746,2.29204036,59.15021814,2.28
761,2.33758620,-27.98790390,5.42
765,2.35224949,-45.74698836,3.88
813,2.50910252,11.14580908,5.54
814,2.50945435,-82.22399743,5.29
840,2.57853868,-5.24851713,5.84
841,2.58017518,46.07227117,5.01
873,2.67810574,-12.57980381,5.84
910,2.81628415,-15.46732287,4.89
930,2.89340430,-27.79977820,5.41
950,2.93286698,-35.13339606,5.24
983,3.04145374,-17.93821766,5.29
1067,3.30895828,15.18361593,2.83
1074,3.33145220,-84.99402068,5.78
1086,3.37889713,41.03572671,5.71
1096,3.42591849,-26.02215399,5.94
1158,3.61496786,-7.78053784,5.13
1168,3.65045047,20.20669720,4.79
1170,3.66013628,-18.93268628,4.44
1191,3.72708897,-9.56955053,5.77
1288,4.03660680,-31.44632821,5.66
1354,4.23771177,61.53319397,5.74
1366,4.27306518,38.68167915,4.61
1372,4.28766746,47.94741495,5.86
1473,4.58210555,36.78532730,4.51
1493,4.65924059,31.51723388,5.88
1562,4.85701265,-8.82382948,3.56
1599,5.00797581,-64.87762320,4.23
1630,5.10163324,30.93561514,5.89
1645,5.14943435,8.19024803,5.38
1647,5.16267858,-69.62491154,5.50
1657,5.18974442,32.91122853,5.79
1686,5.28010785,37.96869954,5.16
1706,5.36976160,-77.42685699,5.96
1708,5.37990144,-28.98129509,5.18
1728,5.44264511,-20.05799253,5.61
1921,6.06518443,52.01992467,5.58
1960,6.19786908,61.83106347,5.38
1982,6.27660700,53.04678501,5.72
2006,6.35090309,1.93972374,5.77
2021,6.41334183,-77.25503511,2.82
2072,6.55048418,-43.67990933,3.93
2081,6.57028075,-42.30512197,2.40
2159,6.81119663,-25.54713325,5.99
2210,6.98213606,-33.00704460,4.86
2219,7.01185234,17.89307501,5.01
2225,7.05660466,44.39448925,5.18
2240,7.11007309,-39.91490183,5.42
2353,7.50980355,-3.95729662,5.72
2355,7.53056566,29.75169567,5.20
2377,7.58297373,59.97756400,5.94
2381,7.59446346,-23.78771429,5.17
2383,7.60822774,-48.21469821,5.67
2472,7.85356695,-48.80356171,4.76
2475,7.85668759,33.58168169,5.88
2484,7.88566992,-62.95808549,4.36
2487,7.88898014,-62.96544985,4.53
2497,7.92171234,52.83955844,5.59
2505,7.94299136,54.52232473,4.74
2548,8.09897908,6.95545461,5.69
2568,8.14750345,20.29443334,5.38
2578,8.18247614,-63.03137868,5.07
2599,8.24994391,62.93178781,4.17
2611,8.29301467,54.89508062,5.93
2661,8.42108802,-29.55820696,5.55
2711,8.61506261,-52.37318294,5.57
